ロケーション,敵派閥,変異,推奨レベル
アレンコ・製薬,スコーチ,スティングフロストを氷結・毒,50+
バレー・ガレリア,ブラッドイーグル,グループ再生を回復,50+
ワトガ・ハイスクール,スーパーミュータント,不安定を爆発,50+
ウエストテック研究センター,ロボット,鋭い視線をPer増加,50+
燃える鉱山,モールマイナー,サヴェージ・ストライクをアーマー貫通,50+
アレンコ・製薬,スコーチ,スティングフロストを氷結・毒,50+
バレー・ガレリア,ブラッドイーグル,グループ再生を回復,50+
ワトガ・ハイスクール,スーパーミュータント,不安定を爆発,50+
ウエストテック研究センター,ロボット,鋭い視線をPer増加,50+
燃える鉱山,モールマイナー,サヴェージ・ストライクをアーマー貫通,50+
アレンコ・製薬,スコーチ,スティングフロストを氷結・毒,50+
バレー・ガレリア,ブラッドイーグル,グループ再生を回復,50+
ワトガ・ハイスクール,スーパーミュータント,不安定を爆発,50+
ウエストテック研究センター,ロボット,鋭い視線をPer増加,50+
燃える鉱山,モールマイナー,サヴェージ・ストライクをアーマー貫通,50+
アレンコ・製薬,スコーチ,スティングフロストを氷結・毒,50+
バレー・ガレリア,ブラッドイーグル,グループ再生を回復,50+
ワトガ・ハイスクール,スーパーミュータント,不安定を爆発,50+
ウエストテック研究センター,ロボット,鋭い視線をPer増加,50+
燃える鉱山,モールマイナー,サヴェージ・ストライクをアーマー貫通,50+
アレンコ・製薬,スコーチ,スティングフロストを氷結・毒,50+
バレー・ガレリア,ブラッドイーグル,グループ再生を回復,50+
ワトガ・ハイスクール,スーパーミュータント,不安定を爆発,50+
ウエストテック研究センター,ロボット,鋭い視線をPer増加,50+
燃える鉱山,モールマイナー,サヴェージ・ストライクをアーマー貫通,50+
アレンコ・製薬,スコーチ,スティングフロストを氷結・毒,50+
バレー・ガレリア,ブラッドイーグル,グループ再生を回復,50+
ワトガ・ハイスクール,スーパーミュータント,不安定を爆発,50+
ウエストテック研究センター,ロボット,鋭い視線をPer増加,50+
燃える鉱山,モールマイナー,サヴェージ・ストライクをアーマー貫通,50+
アレンコ・製薬,スコーチ,スティングフロストを氷結・毒,50+
バレー・ガレリア,ブラッドイーグル,グループ再生を回復,50+
ワトガ・ハイスクール,スーパーミュータント,不安定を爆発,50+
ウエストテック研究センター,ロボット,鋭い視線をPer増加,50+
燃える鉱山,モールマイナー,サヴェージ・ストライクをアーマー貫通,50+
アレンコ・製薬,スコーチ,スティングフロストを氷結・毒,50+
バレー・ガレリア,ブラッドイーグル,グループ再生を回復,50+
ワトガ・ハイスクール,スーパーミュータント,不安定を爆発,50+
ウエストテック研究センター,ロボット,鋭い視線をPer増加,50+
燃える鉱山,モールマイナー,サヴェージ・ストライクをアーマー貫通,50+
アレンコ・製薬,スコーチ,スティングフロストを氷結・毒,50+
バレー・ガレリア,ブラッドイーグル,グループ再生を回復,50+
ワトガ・ハイスクール,スーパーミュータント,不安定を爆発,50+
ウエストテック研究センター,ロボット,鋭い視線をPer増加,50+
燃える鉱山,モールマイナー,サヴェージ・ストライクをアーマー貫通,50+
アレンコ・製薬,スコーチ,スティングフロストを氷結・毒,50+
バレー・ガレリア,ブラッドイーグル,グループ再生を回復,50+
ワトガ・ハイスクール,スーパーミュータント,不安定を爆発,50+
ウエストテック研究センター,ロボット,鋭い視線をPer増加,50+
燃える鉱山,モールマイナー,サヴェージ・ストライクをアーマー貫通,50+
アレンコ・製薬,スコーチ,スティングフロストを氷結・毒,50+
バレー・ガレリア,ブラッドイーグル,グループ再生を回復,50+
ワトガ・ハイスクール,スーパーミュータント,不安定を爆発,50+
ウエストテック研究センター,ロボット,鋭い視線をPer増加,50+
燃える鉱山,モールマイナー,サヴェージ・ストライクをアーマー貫通,50+
アレンコ・製薬,スコーチ,スティングフロストを氷結・毒,50+
バレー・ガレリア,ブラッドイーグル,グループ再生を回復,50+
ワトガ・ハイスクール,スーパーミュータント,不安定を爆発,50+
ウエストテック研究センター,ロボット,鋭い視線をPer増加,50+
燃える鉱山,モールマイナー,サヴェージ・ストライクをアーマー貫通,50+
アレンコ・製薬,スコーチ,スティングフロストを氷結・毒,50+
バレー・ガレリア,ブラッドイーグル,グループ再生を回復,50+
ワトガ・ハイスクール,スーパーミュータント,不安定を爆発,50+
ウエストテック研究センター,ロボット,鋭い視線をPer増加,50+
燃える鉱山,モールマイナー,サヴェージ・ストライクをアーマー貫通,50+
アレンコ・製薬,スコーチ,スティングフロストを氷結・毒,50+
バレー・ガレリア,ブラッドイーグル,グループ再生を回復,50+
ワトガ・ハイスクール,スーパーミュータント,不安定を爆発,50+
ウエストテック研究センター,ロボット,鋭い視線をPer増加,50+
燃える鉱山,モールマイナー,サヴェージ・ストライクをアーマー貫通,50+
アレンコ・製薬,スコーチ,スティングフロストを氷結・毒,50+
バレー・ガレリア,ブラッドイーグル,グループ再生を回復,50+
ワトガ・ハイスクール,スーパーミュータント,不安定を爆発,50+
ウエストテック研究センター,ロボット,鋭い視線をPer増加,50+
燃える鉱山,モールマイナー,サヴェージ・ストライクをアーマー貫通,50+
アレンコ・製薬,スコーチ,スティングフロストを氷結・毒,50+
バレー・ガレリア,ブラッドイーグル,グループ再生を回復,50+
ワトガ・ハイスクール,スーパーミュータント,不安定を爆発,50+
ウエストテック研究センター,ロボット,鋭い視線をPer増加,50+
燃える鉱山,モールマイナー,サヴェージ・ストライクをアーマー貫通,50+
アレンコ・製薬,スコーチ,スティングフロストを氷結・毒,50+
バレー・ガレリア,ブラッドイーグル,グループ再生を回復,50+
ワトガ・ハイスクール,スーパーミュータント,不安定を爆発,50+
ウエストテック研究センター,ロボット,鋭い視線をPer増加,50+
燃える鉱山,モールマイナー,サヴェージ・ストライクをアーマー貫通,50+
アレンコ・製薬,スコーチ,スティングフロストを氷結・毒,50+
バレー・ガレリア,ブラッドイーグル,グループ再生を回復,50+
ワトガ・ハイスクール,スーパーミュータント,不安定を爆発,50+
ウエストテック研究センター,ロボット,鋭い視線をPer増加,50+
燃える鉱山,モールマイナー,サヴェージ・ストライクをアーマー貫通,50+
アレンコ・製薬,スコーチ,スティングフロストを氷結・毒,50+
バレー・ガレリア,ブラッドイーグル,グループ再生を回復,50+
ワトガ・ハイスクール,スーパーミュータント,不安定を爆発,50+
ウエストテック研究センター,ロボット,鋭い視線をPer増加,50+
燃える鉱山,モールマイナー,サヴェージ・ストライクをアーマー貫通,50+
アレンコ・製薬,スコーチ,スティングフロストを氷結・毒,50+
バレー・ガレリア,ブラッドイーグル,グループ再生を回復,50+
ワトガ・ハイスクール,スーパーミュータント,不安定を爆発,50+
ウエストテック研究センター,ロボット,鋭い視線をPer増加,50+
燃える鉱山,モールマイナー,サヴェージ・ストライクをアーマー貫通,50+
アレンコ・製薬,スコーチ,スティングフロストを氷結・毒,50+
バレー・ガレリア,ブラッドイーグル,グループ再生を回復,50+
ワトガ・ハイスクール,スーパーミュータント,不安定を爆発,50+
ウエストテック研究センター,ロボット,鋭い視線をPer増加,50+
燃える鉱山,モールマイナー,サヴェージ・ストライクをアーマー貫通,50+
アレンコ・製薬,スコーチ,スティングフロストを氷結・毒,50+
バレー・ガレリア,ブラッドイーグル,グループ再生を回復,50+
ワトガ・ハイスクール,スーパーミュータント,不安定を爆発,50+
ウエストテック研究センター,ロボット,鋭い視線をPer増加,50+
燃える鉱山,モールマイナー,サヴェージ・ストライクをアーマー貫通,50+
アレンコ・製薬,スコーチ,スティングフロストを氷結・毒,50+
バレー・ガレリア,ブラッドイーグル,グループ再生を回復,50+
ワトガ・ハイスクール,スーパーミュータント,不安定を爆発,50+
ウエストテック研究センター,ロボット,鋭い視線をPer増加,50+
燃える鉱山,モールマイナー,サヴェージ・ストライクをアーマー貫通,50+
アレンコ・製薬,スコーチ,スティングフロストを氷結・毒,50+
バレー・ガレリア,ブラッドイーグル,グループ再生を回復,50+
ワトガ・ハイスクール,スーパーミュータント,不安定を爆発,50+
ウエストテック研究センター,ロボット,鋭い視線をPer増加,50+
燃える鉱山,モールマイナー,サヴェージ・ストライクをアーマー貫通,50+
アレンコ・製薬,スコーチ,スティングフロストを氷結・毒,50+
バレー・ガレリア,ブラッドイーグル,グループ再生を回復,50+
ワトガ・ハイスクール,スーパーミュータント,不安定を爆発,50+
ウエストテック研究センター,ロボット,鋭い視線をPer増加,50+
燃える鉱山,モールマイナー,サヴェージ・ストライクをアーマー貫通,50+
アレンコ・製薬,スコーチ,スティングフロストを氷結・毒,50+
バレー・ガレリア,ブラッドイーグル,グループ再生を回復,50+
ワトガ・ハイスクール,スーパーミュータント,不安定を爆発,50+
ウエストテック研究センター,ロボット,鋭い視線をPer増加,50+
燃える鉱山,モールマイナー,サヴェージ・ストライクをアーマー貫通,50+
アレンコ・製薬,スコーチ,スティングフロストを氷結・毒,50+
バレー・ガレリア,ブラッドイーグル,グループ再生を回復,50+
ワトガ・ハイスクール,スーパーミュータント,不安定を爆発,50+
ウエストテック研究センター,ロボット,鋭い視線をPer増加,50+
燃える鉱山,モールマイナー,サヴェージ・ストライクをアーマー貫通,50+
アレンコ・製薬,スコーチ,スティングフロストを氷結・毒,50+
